2019-07-01 15:07:07 status half-configured libperl5.22:amd64 5.22.1-9ubuntu0.6
2019-07-01 15:07:07 status installed libperl5.22:amd64 5.22.1-9ubuntu0.6
2019-07-01 15:07:07 status triggers-pending libc-bin:amd64 2.23-0ubuntu10
2019-07-01 15:07:07 configure perl:amd64 5.22.1-9ubuntu0.6 <none>
2019-07-01 15:07:07 status unpacked perl:amd64 5.22.1-9ubuntu0.6
2019-07-01 15:07:07 status unpacked perl:amd64 5.22.1-9ubuntu0.6
2019-07-01 15:07:07 status half-configured perl:amd64 5.22.1-9ubuntu0.6
2019-07-01 15:07:08 status installed perl:amd64 5.22.1-9ubuntu0.6
2019-07-01 15:07:08 configure libapt-inst2.0:amd64 1.2.29ubuntu0.1 <none>
2019-07-01 15:07:08 status unpacked libapt-inst2.0:amd64 1.2.29ubuntu0.1
2019-07-01 15:07:08 status half-configured libapt-inst2.0:amd64 1.2.29ubuntu0.1
2019-07-01 15:07:08 status installed libapt-inst2.0:amd64 1.2.29ubuntu0.1
2019-07-01 15:07:08 configure apt-utils:amd64 1.2.29ubuntu0.1 <none>
2019-07-01 15:07:08 status unpacked apt-utils:amd64 1.2.29ubuntu0.1
2019-07-01 15:07:08 status half-configured apt-utils:amd64 1.2.29ubuntu0.1
2019-07-01 15:07:08 status installed apt-utils:amd64 1.2.29ubuntu0.1
2019-07-01 15:07:08 configure binutils:amd64 2.26.1-1ubuntu1~16.04.8 <none>
2019-07-01 15:07:08 status unpacked binutils:amd64 2.26.1-1ubuntu1~16.04.8
2019-07-01 15:07:08 status half-configured binutils:amd64 2.26.1-1ubuntu1~16.04.8
2019-07-01 15:07:08 status installed binutils:amd64 2.26.1-1ubuntu1~16.04.8
2019-07-01 15:07:08 configure cpp-5:amd64 5.4.0-6ubuntu1~16.04.10 <none>
2019-07-01 15:07:08 status unpacked cpp-5:amd64 5.4.0-6ubuntu1~16.04.10
2019-07-01 15:07:08 status half-configured cpp-5:amd64 5.4.0-6ubuntu1~16.04.10
2019-07-01 15:07:08 status installed cpp-5:amd64 5.4.0-6ubuntu1~16.04.10
2019-07-01 15:07:09 configure libcc1-0:amd64 5.4.0-6ubuntu1~16.04.10 <none>
2019-07-01 15:07:09 status unpacked libcc1-0:amd64 5.4.0-6ubuntu1~16.04.10
2019-07-01 15:07:09 status half-configured libcc1-0:amd64 5.4.0-6ubuntu1~16.04.10
2019-07-01 15:07:09 status installed libcc1-0:amd64 5.4.0-6ubuntu1~16.04.10
2019-07-01 15:07:09 configure libgomp1:amd64 5.4.0-6ubuntu1~16.04.10 <none>
2019-07-01 15:07:09 status unpacked libgomp1:amd64 5.4.0-6ubuntu1~16.04.10
2019-07-01 15:07:09 status half-configured libgomp1:amd64 5.4.0-6ubuntu1~16.04.10
2019-07-01 15:07:09 status installed libgomp1:amd64 5.4.0-6ubuntu1~16.04.10
2019-07-01 15:07:09 configure libitm1:amd64 5.4.0-6ubuntu1~16.04.10 <none>
2019-07-01 15:07:09 status unpacked libitm1:amd64 5.4.0-6ubuntu1~16.04.10
2019-07-01 15:07:09 status half-configured libitm1:amd64 5.4.0-6ubuntu1~16.04.10
2019-07-01 15:07:09 status installed libitm1:amd64 5.4.0-6ubuntu1~16.04.10
2019-07-01 15:07:09 configure libatomic1:amd64 5.4.0-6ubuntu1~16.04.10 <none>
2019-07-01 15:07:09 status unpacked libatomic1:amd64 5.4.0-6ubuntu1~16.04.10
2019-07-01 15:07:09 status half-configured libatomic1:amd64 5.4.0-6ubuntu1~16.04.10
2019-07-01 15:07:09 status installed libatomic1:amd64 5.4.0-6ubuntu1~16.04.10
2019-07-01 15:07:09 configure libasan2:amd64 5.4.0-6ubuntu1~16.04.10 <none>
2019-07-01 15:07:09 status unpacked libasan2:amd64 5.4.0-6ubuntu1~16.04.10
2019-07-01 15:07:09 status half-configured libasan2:amd64 5.4.0-6ubuntu1~16.04.10
